iter	Passed	Remaining
399	45854	527330
400	45972	527253
401	46082	527079
402	46179	526766
403	46271	526392
404	46378	526196
405	46490	526047
406	46596	525841
407	46701	525618
408	46798	525307
409	46903	525094
410	46999	524765
411	47157	525145
412	47260	524897
413	47353	524550
414	47472	524486
415	47580	524298
416	47682	524053
417	47782	523783
418	47878	523463
419	47995	523379
420	48095	523110
421	48193	522815
422	48297	522590
423	48405	522419
424	48510	522200
425	48619	522030
426	48720	521782
427	48824	521558
428	48922	521266
429	49023	521021
430	49129	520821
431	49229	520552
432	49331	520312
433	49427	520012
434	49538	519865
435	49646	519689
436	49747	519446
437	49847	519188
438	49951	518968
439	50059	518799
440	50161	518558
441	50274	518442
442	50382	518269
443	50494	518138
444	50584	517781
445	50696	517650
446	50806	517496
447	50921	517398
448	51020	517133
449	51144	517125
450	51252	516953
451	51360	516791
452	51476	516696
453	51603	516714
454	51729	516722
455	51840	516590
456	51957	516505
457	52063	516312
458	52184	516275
459	52296	516143
460	52400	515931
461	52509	515771
462	52609	515527
463	52732	515502
464	52843	515365
465	52937	515061
466	53037	514813
467	53134	514537
468	53232	514275
469	53326	513980
470	53428	513756
471	53550	513722
472	53657	513542
473	53761	513345
474	53878	513263
475	54008	513308
476	54116	513141
477	54227	513007
478	54337	512859
479	54438	512627
480	54539	512402
481	54648	512241
482	54766	512176
483	54873	512002
484	54990	511923
485	55107	511839
486	55206	511593
487	55320	511485
488	55435	511390
489	55544	511238
490	55650	511055
491	55758	510890
492	55868	510752
493	55976	510583
494	56079	510382
495	56195	510292
496	56339	510457
497	56454	510357
498	56568	510246
499	56678	510109
500	56782	509908
501	56899	509824
502	57003	509632
503	57107	509434
504	57201	509152
505	57328	509158
506	57441	509043
507	57543	508833
508	57661	508756
509	57760	508519
510	57865	508332
511	57985	508276
512	58102	508202
513	58218	508107
514	58319	507893
515	58418	507653
516	58523	507464
517	58628	507280
518	58745	507199
519	58831	506859
520	58935	506666
521	59037	506452
522	59139	506250
523	59259	506191
524	59365	506018
525	59466	505808
526	59585	505744
527	59687	505531
528	59778	505234
529	59891	505121
530	60009	505052
531	60116	504892
532	60223	504720
533	60333	504589
534	60439	504419
535	60541	504212
536	60645	504024
537	60738	503744
538	60838	503522
539	60949	503396
540	61047	503158
541	61167	503110
542	61273	502941
543	61387	502834
544	61488	502623
